pair,class_a,class_b,C,model,margin,n_support,train_accuracy,test_accuracy,precision,recall,f1,hard_feasible,hard_margin,hard_n_support,explanation
0_vs_1,0,1,0.01,soft,3.3239127183204347,48,1.0,1.0,1.0,1.0,1.0,True,1.3038406948201795,2.0,"Soft SVM (C=0.01): margin=3.3239127183204347, support=48. As C increases margin typically decreases and model fits harder (fewer slack violations). Hard-margin ref margin=1.3038406948201795, support=2. Soft vs hard: margin ratio=2.5493242629452175."
0_vs_1,0,1,0.1,soft,2.2727349559185974,10,1.0,1.0,1.0,1.0,1.0,True,1.3038406948201795,2.0,"Soft SVM (C=0.1): margin=2.2727349559185974, support=10. As C increases margin typically decreases and model fits harder (fewer slack violations). Hard-margin ref margin=1.3038406948201795, support=2. Soft vs hard: margin ratio=1.743107854316546."
0_vs_1,0,1,1.0,soft,1.5339299776947408,2,1.0,1.0,1.0,1.0,1.0,True,1.3038406948201795,2.0,"Soft SVM (C=1.0): margin=1.5339299776947408, support=2. As C increases margin typically decreases and model fits harder (fewer slack violations). Hard-margin ref margin=1.3038406948201795, support=2. Soft vs hard: margin ratio=1.1764703953394355."
0_vs_1,0,1,10.0,soft,1.3038406948201795,2,1.0,1.0,1.0,1.0,1.0,True,1.3038406948201795,2.0,"Soft SVM (C=10.0): margin=1.3038406948201795, support=2. As C increases margin typically decreases and model fits harder (fewer slack violations). Hard-margin ref margin=1.3038406948201795, support=2. Soft vs hard: margin ratio=1.0."
0_vs_1,0,1,100.0,soft,1.3038406948201795,2,1.0,1.0,1.0,1.0,1.0,True,1.3038406948201795,2.0,"Soft SVM (C=100.0): margin=1.3038406948201795, support=2. As C increases margin typically decreases and model fits harder (fewer slack violations). Hard-margin ref margin=1.3038406948201795, support=2. Soft vs hard: margin ratio=1.0."
0_vs_2,0,2,0.01,soft,4.201457048697153,26,1.0,1.0,1.0,1.0,1.0,True,3.220248510802193,2.0,"Soft SVM (C=0.01): margin=4.201457048697153, support=26. As C increases margin typically decreases and model fits harder (fewer slack violations). Hard-margin ref margin=3.220248510802193, support=2. Soft vs hard: margin ratio=1.3046996325294573."
0_vs_2,0,2,0.1,soft,3.3107074751174563,4,1.0,1.0,1.0,1.0,1.0,True,3.220248510802193,2.0,"Soft SVM (C=0.1): margin=3.3107074751174563, support=4. As C increases margin typically decreases and model fits harder (fewer slack violations). Hard-margin ref margin=3.220248510802193, support=2. Soft vs hard: margin ratio=1.0280906780988555."
0_vs_2,0,2,1.0,soft,3.220248510802193,2,1.0,1.0,1.0,1.0,1.0,True,3.220248510802193,2.0,"Soft SVM (C=1.0): margin=3.220248510802193, support=2. As C increases margin typically decreases and model fits harder (fewer slack violations). Hard-margin ref margin=3.220248510802193, support=2. Soft vs hard: margin ratio=1.0."
0_vs_2,0,2,10.0,soft,3.220248510802193,2,1.0,1.0,1.0,1.0,1.0,True,3.220248510802193,2.0,"Soft SVM (C=10.0): margin=3.220248510802193, support=2. As C increases margin typically decreases and model fits harder (fewer slack violations). Hard-margin ref margin=3.220248510802193, support=2. Soft vs hard: margin ratio=1.0."
0_vs_2,0,2,100.0,soft,3.220248510802193,2,1.0,1.0,1.0,1.0,1.0,True,3.220248510802193,2.0,"Soft SVM (C=100.0): margin=3.220248510802193, support=2. As C increases margin typically decreases and model fits harder (fewer slack violations). Hard-margin ref margin=3.220248510802193, support=2. Soft vs hard: margin ratio=1.0."
1_vs_2,1,2,0.01,soft,3.952062228294071,70,0.9428571428571428,0.9333333333333333,1.0,0.8666666666666667,0.9285714285714286,False,,,"Soft SVM (C=0.01): margin=3.952062228294071, support=70. As C increases margin typically decreases and model fits harder (fewer slack violations)."
1_vs_2,1,2,0.1,soft,1.4711451105756108,36,0.9285714285714286,0.9333333333333333,1.0,0.8666666666666667,0.9285714285714286,False,,,"Soft SVM (C=0.1): margin=1.4711451105756108, support=36. As C increases margin typically decreases and model fits harder (fewer slack violations)."
1_vs_2,1,2,1.0,soft,0.7198157507486945,16,0.9571428571428572,0.9,0.9285714285714286,0.8666666666666667,0.896551724137931,False,,,"Soft SVM (C=1.0): margin=0.7198157507486945, support=16. As C increases margin typically decreases and model fits harder (fewer slack violations)."
1_vs_2,1,2,10.0,soft,0.3865825025850834,10,0.9571428571428572,0.8666666666666667,0.9230769230769231,0.8,0.8571428571428571,False,,,"Soft SVM (C=10.0): margin=0.3865825025850834, support=10. As C increases margin typically decreases and model fits harder (fewer slack violations)."
1_vs_2,1,2,100.0,soft,0.21574129349592144,7,0.9714285714285714,0.8666666666666667,0.9230769230769231,0.8,0.8571428571428571,False,,,"Soft SVM (C=100.0): margin=0.21574129349592144, support=7. As C increases margin typically decreases and model fits harder (fewer slack violations)."
